,gametime,role,lane,champ,win,duration,dpm,gpm,cpm
0,13/12/2020 13:59:13,DUO_SUPPORT,NONE,Urgot,True,17.083333333333332,0.18,361.58,5.09
1,13/12/2020 11:53:53,NONE,JUNGLE,Urgot,True,29.883333333333333,0.23,334.1,4.42
2,13/12/2020 11:19:05,NONE,JUNGLE,DrMundo,False,30.166666666666668,0.4,347.37,1.26
3,12/12/2020 11:59:56,NONE,JUNGLE,Urgot,False,34.916666666666664,0.23,374.58,5.1
4,12/12/2020 11:33:00,SOLO,TOP,Urgot,True,20.75,0.05,305.98,5.01
5,12/12/2020 00:38:11,SOLO,TOP,Urgot,False,30.1,0.23,328.6,4.02
6,11/12/2020 21:28:17,SOLO,TOP,Urgot,True,42.93333333333333,0.09,395.52,6.17
7,11/12/2020 20:53:52,SOLO,TOP,Urgot,False,29.416666666666668,0.34,328.79,4.05
8,11/12/2020 20:05:57,SOLO,TOP,Urgot,False,22.5,0.27,282.04,5.2
9,11/12/2020 00:22:22,SOLO,TOP,Urgot,False,30.05,0.23,378.94,4.69
10,10/12/2020 23:29:16,SOLO,TOP,Urgot,True,39.03333333333333,0.23,423.43,4.71
11,09/12/2020 22:54:24,NONE,JUNGLE,Urgot,True,25.3,0.08,476.96,4.98
12,06/12/2020 23:47:12,SOLO,TOP,Urgot,False,35.15,0.26,342.08,4.69
13,06/12/2020 12:08:12,SOLO,TOP,Urgot,True,30.566666666666666,0.23,364.22,5.92
14,06/12/2020 09:24:30,SOLO,TOP,Urgot,False,30.966666666666665,0.13,341.85,5.39
15,05/12/2020 23:14:10,SOLO,TOP,Urgot,True,26.65,0.41,308.78,3.49
16,05/12/2020 22:32:37,NONE,JUNGLE,Urgot,True,35.65,0.11,437.03,5.36
17,05/12/2020 21:44:48,SOLO,TOP,Urgot,True,33.05,0.36,425.33,4.54
18,05/12/2020 10:35:25,SOLO,TOP,Urgot,True,30.916666666666668,0.03,488.57,6.08
19,05/12/2020 10:01:15,SOLO,TOP,Urgot,True,20.333333333333332,0.1,329.21,6.59
20,05/12/2020 09:31:58,SOLO,TOP,Urgot,True,22.3,0.04,361.75,6.32
21,05/12/2020 09:04:52,DUO_SUPPORT,MIDDLE,Urgot,False,20.4,0.29,350.54,3.09
22,02/12/2020 22:42:33,SOLO,TOP,Urgot,True,39.233333333333334,0.2,370.68,5.53
23,01/12/2020 22:18:03,SOLO,TOP,Urgot,False,31.05,0.19,426.15,5.6
24,01/12/2020 21:45:22,SOLO,TOP,Urgot,True,24.2,0.17,457.07,5.5
25,01/12/2020 21:17:22,SOLO,TOP,Urgot,True,21.933333333333334,0.14,413.75,6.02
26,30/11/2020 19:27:15,SOLO,TOP,Urgot,True,23.066666666666666,0.09,402.31,7.63
27,28/11/2020 23:34:07,SOLO,TOP,Urgot,True,32.71666666666667,0.09,464.14,5.78
28,28/11/2020 22:51:17,SOLO,TOP,Urgot,True,37.9,0.05,456.99,4.75
29,28/11/2020 21:32:39,DUO_CARRY,TOP,Urgot,True,37.166666666666664,0.22,402.54,4.28
30,28/11/2020 14:18:33,SOLO,TOP,Urgot,True,27.666666666666668,0.33,311.71,4.92
31,28/11/2020 13:39:42,SOLO,TOP,Urgot,False,27.633333333333333,0.29,313.68,5.97
32,28/11/2020 11:16:59,SOLO,TOP,Urgot,True,32.81666666666667,0.18,447.64,6.4
33,28/11/2020 08:01:52,SOLO,TOP,Urgot,True,32.083333333333336,0.12,490.25,7.11
34,27/11/2020 18:48:11,SOLO,TOP,Urgot,True,27.716666666666665,0.14,398.03,6.75
